affiliatename,countryoforiginname,countryoforigincode,profilepics3key,firstname,lastname,competitorname,division,status,gender,height,affiliateid,weight,bibid,competitorid,age,overallrank,overallscore,Number of Records,ordinal,breakdown,lane,rank,heat,points,scoredisplay,time,workoutrank
CrossFit Mayhem,United States,US,9e218-P153604_4-184.jpg,Mathew,Fraser,Mathew Fraser,Men,ACT,M,1.74,44632,88.5,16,153604,29,1,984,1,1,100 pts,26,1,3,100,0.010505787,0.010505787,1
Peak 360 CrossFit,United States,US,0a0bc-P2725_5-184.jpg,Noah,Ohlsen,Noah Ohlsen,Men,ACT,M,1.74,44800,86.2,302,2725,28,2,949,1,1,70 pts,46,16,3,70,0.011830324,0.011830324,16
CrossFit Hengill,Iceland,IS,4c5dc-P81616_4-184.jpg,BjÃ¶rgvin Karl,GuÃ°mundsson,BjÃ¶rgvin Karl GuÃ°mundsson,Men,ACT,M,1.55,44753,83.9,122,81616,26,3,888,1,1,94 pts,25,4,3,94,0.011209606,0.011209606,4
CrossFit Mentality,United States,US,e23e0-P34796_8-184.jpg,Scott,Panchik,Scott Panchik,Men,ACT,M,1.8,44597,84.8,105,34796,31,4,795,1,1,96 pts,21,3,3,96,0.011179977,0.011179977,3
CrossFit Mode,Australia,AU,b7c6d-P16080_7-184.jpg,James,Newbury,James Newbury,Men,ACT,M,1.55,44792,87.1,303,16080,28,5,728,1,1,90 pts,31,6,2,90,0.011356366,0.011356366,6
Cobra Command CrossFit,United States,US,d1ef5-P199938_3-184.jpg,Jacob,Heppner,Jacob Heppner,Men,ACT,M,1.77,44590,87.1,101,199938,29,6,694,1,1,76 pts,27,13,3,76,0.011665972,0.011665972,13
CrossFit Crossaxed,Australia,AU,41bf6-P660204_5-184.jpg,Matt,Mcleod,Matt Mcleod,Men,ACT,M,1.71,44805,82.1,311,660204,26,7,671,1,1,35 pts,5,40,3,35,0.013439699,0.013439699,40
,Switzerland,CH,ff2d6-P698182_6-184.jpg,Adrian,Mundwiler,Adrian Mundwiler,Men,ACT,M,1.77,,84.8,135,698182,26,8,632,1,1,52 pts,45,25,3,52,0.01235787,0.01235787,25
CrossFit Cliffside,United States,US,00087-P310970_11-184.jpg,Saxon,Panchik,Saxon Panchik,Men,ACT,M,1.8,44969,83.9,310,310970,23,9,587,1,1,62 pts,11,20,3,62,0.011937269,0.011937269,20
CrossFit Trivium,United States,US,d3cc2-P35627_6-184.jpg,Will,Moorad,Will Moorad,Men,ACT,M,1.8,44802,86.2,309,35627,30,10,485,1,1,74 pts,26,14,2,74,0.011683681,0.011683681,14
CrossFit Spokane Valley,United States,US,ce316-P153625_5-184.jpg,Cole,Sager,Cole Sager,Men,CUT,M,1.55,44588,91.6,102,153625,28,11,368,1,1,88 pts,23,7,3,88,0.011392245,0.011392245,7
CrossFit Passion,United States,US,9de68-P1690_5-184.jpg,Travis,Mayer,Travis Mayer,Men,CUT,M,1.56,44599,89.8,108,1690,28,12,368,1,1,78 pts,32,12,3,78,0.011504282,0.011504282,12
,United States,US,a9afa-P74320_4-184.jpg,Samuel,Kwant,Samuel Kwant,Men,CUT,M,1.56,,90.7,111,74320,23,13,349,1,1,72 pts,17,15,3,72,0.011776273,0.011776273,15
CrossFit Rejoice,United States,US,5afca-P123764_4-184.jpg,Logan,Collins,Logan Collins,Men,CUT,M,1.74,44700,82.6,113,123764,28,14,340,1,1,66 pts,36,18,3,66,0.011874421,0.011874421,18
CrossFit Sacrifice,United States,US,22a7d-P469626_5-184.jpg,Chandler,Smith,Chandler Smith,Men,CUT,M,1.77,44804,87.5,312,469626,26,15,329,1,1,98 pts,9,2,3,98,0.01091169,0.01091169,2
CrossFit Solid Ground,Canada,CA,d471c-P158264_7-184.jpg,Patrick,Vellner,Patrick Vellner,Men,CUT,M,1.56,44773,88.5,119,158264,29,16,322,1,1,84 pts,12,9,3,84,0.011486343,0.011486343,9
CrossFit Nordic,Sweden,SE,0c02c-P24309_6-184.jpg,Lukas,HÃ¶gberg,Lukas HÃ¶gberg,Men,CUT,M,1.83,44756,95.7,128,24309,28,17,319,1,1,36 pts,16,39,3,36,0.013350231,0.013350231,39
CrossFit Flensburg,Germany,DE,565d0-P286691_2-184.jpg,Joshua,Wichtrup,Joshua Wichtrup,Men,CUT,M,1.83,44658,86.2,136,286691,27,18,315,1,1,47 pts,47,28,3,47,0.012687963,0.012687963,28
CrossFit Yas,United Kingdom,GB,ae97a-P86089_6-184.jpg,Elliot,Simmonds,Elliot Simmonds,Men,CUT,M,1.86,44663,89.8,132,86089,25,19,303,1,1,41 pts,42,34,3,41,0.013234606,0.013234606,34
CrossFit Skodsborg,Denmark,DK,0e8b6-P230757_2-184.jpg,Casper,Gammelmark,Casper Gammelmark,Men,CUT,M,1.83,44593,86.2,115,230757,28,20,251,1,1,14 pts,37,61T,3,14,CAP+8,CAP+8,61T
CrossFit Lutece,France,FR,9ca60-P702092_3-184.jpg,Willy,Georges,Willy Georges,Men,CUT,M,1.55,44688,86.2,130,702092,26,21,245,1,1,48 pts,41,27,3,48,0.012675463,0.012675463,27
Solidarity CrossFit,United States,US,b72ee-P111592_7-184.jpg,Connor,Duddy,Connor Duddy,Men,CUT,M,1.55,44977,83.9,316,111592,26,22,244,1,1,56 pts,43,23,3,56,0.012304167,0.012304167,23
Kelowna CrossFit,Canada,CA,1780d-P107101_9-184.jpg,Brent,Fikowski,Brent Fikowski,Men,CUT,M,1.89,44790,98.4,308,107101,28,23,243,1,1,64 pts,33,19,2,64,0.011927546,0.011927546,19
CrossFit Powerstroke,United States,US,a0a86-P134617_10-184.jpg,Sean,Sweeney,Sean Sweeney,Men,CUT,M,1.8,44789,87.1,304,134617,27,24,236,1,1,58 pts,6,22,3,58,0.012215625,0.012215625,22
CrossFit Quebec City,Canada,CA,ebe1c-P180541_4-184.jpg,Alex,Vigneault,Alex Vigneault,Men,CUT,M,1.56,44602,94.3,116,180541,27,25,233,1,1,33 pts,14,42,3,33,0.013653819,0.013653819,42
CrossFit 8020,Ireland,IE,15913-P461734_4-184.jpg,Michael,Smith,Michael Smith,Men,CUT,M,1.83,44676,95.3,146,461734,27,26,224,1,1,54 pts,20,24,2,54,0.012328472,0.012328472,24
CrossFit CFPT,China,CN,7aece-P23655_2-184.jpg,Ant,Haynes,Ant Haynes,Men,CUT,M,1.55,44626,88,145,23655,29,27,218,1,1,15 pts,30,60,2,15,CAP+8,CAP+8,60
CrossFit Krypton,United States,US,eab2e-P43761_13-184.jpg,Ben,Smith,Ben Smith,Men,CUT,M,1.56,44795,88.5,15,43761,29,28,217,1,1,86 pts,14,8,1,86,0.011438542,0.011438542,8
CrossFit Kyalami,South Africa,ZA,f2583-P120333_4-184.jpg,Jason,Smith,Jason Smith,Men,CUT,M,1.86,44766,88.5,137,120333,35,29,216,1,1,80 pts,4,11,3,80,0.011500579,0.011500579,11
Ft. Wright CrossFit,United States,US,cb045-P682551_3-184.jpg,Ryan,Sowder,Ryan Sowder,Men,CUT,M,1.77,44782,86.2,313,682551,25,30,208,1,1,37 pts,38,38,2,37,0.013326273,0.013326273,38
CrossFit Riga,Latvia,LV,cf540-P472642_5-184.jpg,Uldis,Upenieks,Uldis Upenieks,Men,CUT,M,1.8,44689,83.9,125,472642,21,31,194,1,1,42 pts,29,33,3,42,0.013216898,0.013216898,33
BrewCity CrossFit,United States,US,79ace-P329279_12-184.jpg,George,Sterner,George Sterner,Men,CUT,M,1.8,44606,83.9,103,329279,20,32,194,1,1,60 pts,22,21,3,60,0.012140394,0.012140394,21
CrossFit Wonderland,Canada,CA,e480e-P469656_1-184.jpg,Jeffrey,Adler,Jeffrey Adler,Men,CUT,M,1.8,44595,89.4,117,469656,25,33,193,1,1,92 pts,38,5,3,92,0.011316088,0.011316088,5
CrossFit Kreis 9,Switzerland,CH,b98a5-P2766_6-184.jpg,Lukas,Esslinger,Lukas Esslinger,Men,CUT,M,1.56,44725,90.7,307,2766,26,34,191,1,1,44 pts,7,31,3,44,0.012736458,0.012736458,31
Deka CrossFit,Canada,CA,ab5f0-P327636_3-184.jpg,Samuel,Cournoyer,Samuel Cournoyer,Men,CUT,M,1.56,44600,88.5,104,327636,23,35,186,1,1,82 pts,30,10,3,82,0.011496065,0.011496065,10
CrossFit Lionmode,Australia,AU,1ce47-P8690_5-184.jpg,Dean,Linder-Leighton,Dean Linder-Leighton,Men,CUT,M,1.77,44741,87.1,118,8690,28,36,170,1,1,20 pts,13,55,3,20,CAP+7,CAP+7,55
CrossFit Kreis 9,Finland,FI,9f8e1-P173837_3-184.jpg,Jonne,Koski,Jonne Koski,Men,CUT,M,1.74,44725,84.8,131,173837,24,37,165,1,1,45 pts,10,30,3,45,0.012716204,0.012716204,30
CrossFit Invictus,United States,US,a0d02-P28040_5-184.jpg,Eric,Carmody,Eric Carmody,Men,CUT,M,1.56,44591,90.7,114,28040,31,38,160,1,1,26 pts,15,49,3,26,CAP+4,CAP+4,49
LumberYard CrossFit,United States,US,709b2-P501728_4-184.jpg,Jason,Carroll,Jason Carroll,Men,CUT,M,1.55,44752,83.9,106,501728,30,39,159,1,1,68 pts,31,17,3,68,0.011862963,0.011862963,17
CrossFit Sandvika,Norway,NO,5b3bf-P542883_2-184.jpg,Nicolay,Billaudel,Nicolay Billaudel,Men,CUT,M,1.83,44702,92.1,152,542883,29,40,154,1,1,46 pts,35,29,2,46,0.012708681,0.012708681,29
CrossFit Fond du Lac,United States,US,907aa-P8325_6-184.jpg,Nick,Bloch,Nick Bloch,Men,CUT,M,1.83,44948,95.3,314,8325,33,41,116,1,1,12 pts,36,63,2,12,CAP+8,CAP+8,63
,Poland,PL,9750f-P250172_2-184.jpg,Bronislaw,Olenkowicz,Bronislaw Olenkowicz,Men,CUT,M,1.83,,98.9,305,250172,30,42,112,1,1,10 pts,15,65,2,10,CAP+8,CAP+8,65
CrossFit 82,Lithuania,LT,2d23e-P432338_3-184.jpg,Arminas,Balevicius,Arminas Balevicius,Men,CUT,M,1.8,44669,87.1,143,432338,26,43,108,1,1,43 pts,29,32,2,43,0.013152315,0.013152315,32
CrossFit MetaliZe,Egypt,EG,f6b3e-P487949_3-184.jpg,Mohamed,Elomda,Mohamed Elomda,Men,CUT,M,1.56,44623,92.1,173,487949,31,44,100,1,1,28 pts,4,47,2,28,CAP+2,CAP+2,47
CrossFit Riders,Sweden,SE,f749d-P106655_3-184.jpg,Simon,MÃ¤ntylÃ¤,Simon MÃ¤ntylÃ¤,Men,CUT,M,1.56,44592,94.8,112,106655,28,45,99,1,1,40 pts,35,35,3,40,0.013259954,0.013259954,35
Shockoe Bottom CrossFit,United States,US,b1338-P244353_1-184.jpg,John-Paul,Hethcock,John-Paul Hethcock,Men,CUT,M,1.55,44794,87.1,306,244353,26,46,92,1,1,38 pts,16,37,2,38,0.013300231,0.013300231,37
Reebok CrossFit Ljubljana,Slovenia,SI,pukie.png,Aleks,KoÅ¡tomaj,Aleks KoÅ¡tomaj,Men,CUT,M,1.56,44747,86.2,181,842919,26,47,90,1,1,22 pts,26,53,1,22,CAP+7,CAP+7,53
,Hungary,HU,fabed-P511473_2-184.jpg,GÃ¡bor,TÃ¶rÃ¶k,GÃ¡bor TÃ¶rÃ¶k,Men,CUT,M,1.77,,84.8,139,511473,28,48,86,1,1,39 pts,27,36,2,39,0.013265856,0.013265856,36
CrossFit Al Ain,Brazil,BR,1853e-P686308_3-184.jpg,Guilherme,Malheiros,Guilherme Malheiros,Men,CUT,M,1.8,44660,87.1,142,686308,19,49,74,1,1,50 pts,23,26,2,50,0.012569907,0.012569907,26
,Argentina,AR,7870f-P478414_5-184.jpg,Agustin,Richelme,Agustin Richelme,Men,CUT,M,1.77,,79.8,134,478414,22,50,66,1,1,25 pts,44,50,3,25,CAP+4,CAP+4,50
CrossFit Canarias,Colombia,CO,306d0-P468290_1-184.jpg,Bryan,HernÃ¡ndez,Bryan HernÃ¡ndez,Men,CUT,M,1.71,44734,74.8,161,468290,21,51,53,1,1,17 pts,10,58,2,17,CAP+8,CAP+8,58
CrossFit Albi,Belgium,BE,d7e4d-P677889_5-184.jpg,Alban,Dubois,Alban Dubois,Men,CUT,M,1.8,44655,86.2,165,677889,24,52,49,1,1,30 pts,8,45,2,30,CAP+1,CAP+1,45
Thorndon CrossFit,New Zealand,NZ,1353d-P221436_10-184.jpg,Luke,Fiso,Luke Fiso,Men,CUT,M,1.8,44672,88,138,221436,29,53,48,1,1,31 pts,25,44,2,31,0.013870023,0.013870023,44
CrossFit 3 Sons,Mexico,MX,b159c-P155471_5-184.jpg,Darwin,Perez,Darwin Perez,Men,CUT,M,1.74,44758,81.6,144,155471,30,54,47,1,1,34 pts,22,41,2,34,0.013579745,0.013579745,41
,Guatemala,GT,db495-P286311_4-184.jpg,Marlon,Azurdia,Marlon Azurdia,Men,CUT,M,1.8,,88,159,286311,33,55,46,1,1,8 pts,11,67,2,8,CAP+9,CAP+9,67
CrossFit Idol,Russian Federation,RU,9cea9-P1325298_1-184.jpg,Aleksandar,Ilin,Aleksandar Ilin,Men,CUT,M,1.8,44732,87.1,133,1325298,29,56,45,1,1,21 pts,8,54,3,21,CAP+7,CAP+7,54
CrossFit Zurriola,Spain,ES,5bcb0-P351417_1-184.jpg,Alexander,Anasagasti,Alexander Anasagasti,Men,CUT,M,1.8,44610,73.9,148,351417,27,57,41,1,1,32 pts,19,43,2,32,0.013845949,0.013845949,43
CrossFit Alioth,United Arab Emirates,AE,cae81-P1697328_1-184.jpg,Mahmood,Shalan,Mahmood Shalan,Men,CUT,M,1.8,44596,88,158,1697328,26,58,40,1,1,24 pts,40,51,2,24,CAP+5,CAP+5,51
CrossFit BBros,Slovakia,SK,f9e0a-P119313_6-184.jpg,Erik,Toth,Erik Toth,Men,CUT,M,1.55,44659,83.9,149,119313,29,59,35,1,1,3 pts,18,72,2,3,CAP+10,CAP+10,72
CrossFit North Zone,Greece,GR,931eb-P514502_2-184.jpg,Lefteris,Theofanidis,Lefteris Theofanidis,Men,CUT,M,1.74,44713,81.2,123,514502,29,60,34,1,1,14 pts,24,61T,3,14,CAP+8,CAP+8,61T
CrossFit Boran,Turkey,TR,0cb10-P231921_6-184.jpg,Ates,Boran,Ates Boran,Men,CUT,M,1.77,44755,76.7,166,231921,33,61,33,1,1,27 pts,44,48,2,27,CAP+4,CAP+4,48
Precision CrossFit,United States,US,43261-P196667_2-184.jpg,Hunter,McIntyre,Hunter McIntyre,Men,CUT,M,1.89,44942,93,401,196667,30,62,31,1,1,29 pts,1,46,2,29,CAP+2,CAP+2,46
CrossFit Invictus,Luxembourg,LU,60a27-P160128_2-184.jpg,Connor,Nellans,Connor Nellans,Men,CUT,M,1.83,44591,95.3,156,160128,25,63,31,1,1,5 pts,39,70,2,5,CAP+9,CAP+9,70
,Croatia,HR,pukie.png,Augustin,Vilicnik,Augustin Vilicnik,Men,CUT,M,1.56,,91.2,178,858387,29,64,31,1,1,23 pts,2,52,2,23,CAP+6,CAP+6,52
BeeGrow CrossFit,Japan,JP,fbb8f-P849478_2-184.jpg,Shingo,Moromasa,Shingo Moromasa,Men,CUT,M,0.15,44696,83.9,171,849478,32,65,31,1,1,16 pts,5,59,2,16,CAP+8,CAP+8,59
CrossFit 962,Jordan,JO,e2cfb-P315266_3-184.jpg,Amin,Attallah,Amin Attallah,Men,CUT,M,1.74,44638,79.8,172,315266,25,66,25,1,1,2 pts,47,73,2,2,CAP+11,CAP+11,73
CrossFit 4 L,Venezuela,VE,cb959-P270266_2-184.jpg,Omar,Martinez,Omar Martinez,Men,CUT,M,0.03,44636,76.2,141,270266,27,67,24,1,1,19 pts,28,56,2,19,CAP+8,CAP+8,56
CrossFit Finestrat,Netherlands,NL,a2893-P423302_1-184.jpg,Sam,Lubben,Sam Lubben,Men,CUT,M,1.83,44719,91.2,160,423302,22,68,23,1,1,11 pts,41,64,2,11,CAP+8,CAP+8,64
,Nigeria,NG,85757-P1692338_1-184.jpg,Uyi Nosa,Osawe,Uyi Nosa Osawe,Men,CUT,M,1.83,,87.1,188,1692338,29,69,20,1,1,18 pts,22,57,1,18,CAP+8,CAP+8,57
Triller CrossFit,Austria,AT,3f1be-P275390_1-184.jpg,Christoph,Koerner,Christoph Koerner,Men,CUT,M,1.56,44673,89.8,147,275390,31,70,18,1,1,4 pts,32,71,2,4,CAP+9,CAP+9,71
CrossFit Sea Energy,Ukraine,UA,1d878-P470906_2-184.jpg,Oleksandr,Shkoliarenko,Oleksandr Shkoliarenko,Men,CUT,M,1.83,44643,88.9,154,470906,29,71,18,1,1,7 pts,14,68,2,7,CAP+9,CAP+9,68
Tantum CrossFit,Bosnia and Herzegovina,BA,f6ae1-P667464_4-184.jpg,ÄorÄ‘e,ÄuriÄ‡,ÄorÄ‘e ÄuriÄ‡,Men,CUT,M,1.89,44690,87.1,170,667464,24,72,16,1,1,6 pts,46,69,2,6,CAP+9,CAP+9,69
CrossFit Ramallah,Palestinian Territory,PS,db955-P1076087_3-184.jpg,Hamzeh,Tarefi,Hamzeh Tarefi,Men,CUT,M,1.77,44729,87.1,168,1076087,24,73,13,1,1,9 pts,45,66,2,9,CAP+9,CAP+9,66
,Chile,CL,b8edd-P1178252_1-184.jpg,Piero,Gorichon,Piero Gorichon,Men,CUT,M,1.83,,89.8,153,1178252,27,74,7,1,1,0 pts,37,75,2,0,CAP+11,CAP+11,75
,Tunisia,TN,298c2-P844066_3-184.jpg,Marzougui,Mootez,Marzougui Mootez,Men,CUT,M,1.77,,76.2,196,844066,28,75,3,1,1,-1 pts,18,76,1,-1,CAP+11,CAP+11,76
CrossFit Dignus,Zimbabwe,ZW,433f0-P105253_8-184.jpg,Jean-Claude,Jardim,Jean-Claude Jardim,Men,CUT,M,1.55,44736,86.2,182,105253,27,76,3,1,1,1 pts,25,74,1,1,CAP+11,CAP+11,74
Circuit Plus CrossFit Shuwaikh,Kuwait,KW,49d3e-P703126_1-184.jpg,Khalid,Aljarallah,Khalid Aljarallah,Men,CUT,M,1.8,44699,88,185,703126,32,77,-2,1,1,-2 pts,28,77,1,-2,CAP+11,CAP+11,77
BIGG CrossFit Herrera,Paraguay,PY,70c62-P683220_4-184.jpg,Diego,Kemper,Diego Kemper,Men,CUT,M,1.83,44627,88,177,683220,28,78,-3,1,1,-3 pts,49,78,2,-3,CAP+11,CAP+11,78
,Romania,RO,dcd71-P213806_3-184.jpg,Severin,Irimia,Severin Irimia,Men,CUT,M,1.83,,88,162,213806,31,79,-4,1,1,-4 pts,42,79,2,-4,CAP+11,CAP+11,79
CrossFit Subterranean,Belize,BZ,c6cea-P1523179_7-184.jpg,Vernon,Neal,Vernon Neal,Men,CUT,M,1.77,44628,77.1,201,1523179,30,80,-5,1,1,-5 pts,36,80,1,-5,CAP+11,CAP+11,80
CrossFit OPO,Portugal,PT,50ca1-P233855_8-184.jpg,JoÃ£o,Ferreira,JoÃ£o Ferreira,Men,CUT,M,1.74,44765,83.9,155,233855,24,81,-6,1,1,-6 pts,13,81,2,-6,CAP+11,CAP+11,81
CrossFit Steel Factory,Dominican Republic,DO,6518d-P256607_4-184.jpg,Eusebio,Aldano,Eusebio Aldano,Men,CUT,M,1.55,44614,92.5,187,256607,34,82,-7,1,1,-7 pts,29,82,1,-7,CAP+11,CAP+11,82
CrossFit Crash,United States,US,b3ff4-P93473_3-184.jpg,Josh,Miller,Josh Miller,Men,CUT,M,1.8,44971,86.2,315,93473,30,83,-8,1,1,-8 pts,21,83,2,-8,CAP+11,CAP+11,83
Reebok CrossFit PTY,Panama,PA,fd95b-P191624_2-184.jpg,Alvaro,Lopez,Alvaro Lopez,Men,CUT,M,0.18,44633,83.9,186,191624,33,84,-9,1,1,-9 pts,23,84,1,-9,CAP+11,CAP+11,84
Tonic CrossFit,Canada,CA,47f1f-P308712_3-184.jpg,Jean-Simon,Roy-Lemaire,Jean-Simon Roy-Lemaire,Men,CUT,M,1.8,44617,88.5,124,308712,25,85,-10,1,1,-10 pts,28,85,3,-10,CAP+11,CAP+11,85
Avant Garde CrossFit,Philippines,PH,6aece-P434258_1-184.jpg,Justin,Hernandez,Justin Hernandez,Men,CUT,M,1.8,44742,83.9,183,434258,25,86,-11,1,1,-11 pts,27,86,1,-11,CAP+11,CAP+11,86
,Honduras,HN,17cc4-P345700_4-184.jpg,Franky,Wood,Franky Wood,Men,CUT,M,1.71,,77.1,189,345700,31,87,-12,1,1,-12 pts,30,87,1,-12,CAP+11,CAP+11,87
CrossFit Alioth,United States,US,0e176-P247005_2-184.jpg,Streat,Hoerner,Streat Hoerner,Men,CUT,M,1.8,44596,88.5,109,247005,24,88,-13,1,1,-13 pts,19,88,3,-13,CAP+11,CAP+11,88
CrossFit Progression,Kenya,KE,33ba3-P1721_9-184.jpg,Jeremy,Mghenyi,Jeremy Mghenyi,Men,CUT,M,1.77,44647,86.2,215,1721,28,89,-14,1,1,-14 pts,9,89,1,-14,CAP+11,CAP+11,89
CrossFit T-Town,United States,US,c7ff3-P755342_4-184.jpg,Zachery,Buntin,Zachery Buntin,Men,CUT,M,1.83,44603,93,107,755342,25,90,-15,1,1,-15 pts,20,90,3,-15,CAP+11,CAP+11,90
CrossFit Tartu,Estonia,EE,310fb-P733576_3-184.jpg,Mihkel,Keldoja,Mihkel Keldoja,Men,CUT,M,1.56,44685,83,200,733576,24,91,-16,1,1,-16 pts,16,91,1,-16,CAP+12,CAP+12,91
CrossFit Worlds End,Bulgaria,BG,7d6b8-P658408_1-184.jpg,Stavri,Stavrev,Stavri Stavrev,Men,CUT,M,1.74,44684,73,176,658408,27,92,-17,1,1,-17 pts,3,92,2,-17,CAP+14,CAP+14,92
Instinto CrossFit,Uruguay,UY,ec81d-P326958_3-184.jpg,Santiago,Comba,Santiago Comba,Men,CUT,M,1.77,44722,82.1,167,326958,25,93,-18,1,1,-18 pts,7,93,2,-18,CAP+14,CAP+14,93
CrossFit R99,Poland,PL,5a339-P179080_6-184.jpg,Bartek,Lipka,Bartek Lipka,Men,CUT,M,1.55,44621,83,129,179080,29,94,-19,1,1,-19 pts,39,94,3,-19,CAP+14,CAP+14,94
CrossFit 3216,Tonga,TO,28dd6-P9839_2-184.jpg,Andre,Alipate,Andre Alipate,Men,CUT,M,1.55,44743,81.2,232,9839,36,95,-20,1,1,-20 pts,2,95,1,-20,CAP+15,CAP+15,95
CrossFit 592,Guyana,GY,3ecb5-P595818_2-184.jpg,Dillon,Mahadeo,Dillon Mahadeo,Men,CUT,M,1.89,44709,90.7,213,595818,23,96,-21,1,1,-21 pts,10,96,1,-21,CAP+16,CAP+16,96
Ultimate Burn CrossFit,Angola,AO,02d1a-P1402559_1-184.jpg,Marco,Almeida,Marco Almeida,Men,CUT,M,1.86,44681,96.2,195,1402559,30,97,-22,1,1,-22 pts,33,97,1,-22,CAP+17,CAP+17,97
Diablo CrossFit,Iran,IR,407e4-P34025_10-184.jpg,Payam,Saljoughian,Payam Saljoughian,Men,CUT,M,1.8,44640,79.4,203,34025,32,98,-23,1,1,-23 pts,37,98,1,-23,CAP+18,CAP+18,98
CrossFit Delmon,Bahrain,BH,pukie.png,Majid,Al Sharaf,Majid Al Sharaf,Men,CUT,M,1.74,44695,81.2,191,297397,28,99,-24,1,1,-24 pts,31,99,1,-24,CAP+18,CAP+18,99
Glass City CrossFit,United States,US,b97b3-P571999_1-184.jpg,Richard Paul,Castillo,Richard Paul Castillo,Men,CUT,M,1.56,44605,90.7,110,571999,29,100,-25,1,1,-25 pts,33,100,3,-25,CAP+19,CAP+19,100
CrossFit With Us,Czech Republic,CZ,7c091-P458360_1-184.jpg,David,Stroupek,David Stroupek,Men,CUT,M,1.55,44666,89.8,163,458360,24,101,-26,1,1,-26 pts,9,101,2,-26,CAP+19,CAP+19,101
,Ecuador,EC,79f38-P907105_2-184.jpg,Sebastian,Rodriguez,Sebastian Rodriguez,Men,CUT,M,1.74,,79.8,180,907105,22,102,-27,1,1,-27 pts,50,102,2,-27,CAP+19,CAP+19,102
CrossFit Kaban (departed),Belarus,BY,44ef7-P675164_2-184.jpg,Nikita,Yundov,Nikita Yundov,Men,CUT,M,1.55,44715,92.1,157,675164,26,103,-28,1,1,-28 pts,12,103,2,-28,CAP+19,CAP+19,103
,Malaysia,MY,e6cf3-P25613_4-184.jpg,Edmund,Tan,Edmund Tan,Men,CUT,M,1.74,,69.9,206,25613,33,104,-29,1,1,-29 pts,13,104,1,-29,CAP+19,CAP+19,104
Be CrossFit,Jamaica,JM,dd7fb-P495051_5-184.jpg,Sion,Brinn,Sion Brinn,Men,CUT,M,1.89,44768,85.7,208,495051,46,105,-30,1,1,-30 pts,12,105,1,-30,CAP+19,CAP+19,105
CrossFit Townsville,Australia,AU,pukie.png,Bayden,Brown,Bayden Brown,Men,CUT,M,1.55,44723,89.8,126,337194,24,106,-31,1,1,-31 pts,18,106,3,-31,CAP+19,CAP+19,106
CrossFit Pallas,United States,US,c15ef-P20698_9-184.jpg,Tim,Paulson,Tim Paulson,Men,CUT,M,1.86,44774,97.5,120,20698,29,107,-32,1,1,-32 pts,40,107,3,-32,CAP+20,CAP+20,107
CrossFit Limelight,"Korea, Republic of",KR,28046-P278578_3-184.jpg,JiMoo,Son,JiMoo Son,Men,CUT,M,1.74,44739,78.9,150,278578,28,108,-33,1,1,-33 pts,34,108,2,-33,CAP+20,CAP+20,108
Igone CrossFit,Trinidad and Tobago,TT,d3193-P227027_2-184.jpg,Mattheaus,Otero,Mattheaus Otero,Men,CUT,M,1.74,44620,80.7,197,227027,28,109,-34,1,1,-34 pts,34,109,1,-34,CAP+20,CAP+20,109
CrossFit The Flying V,Morocco,MA,a2b0a-P32083_8-184.jpg,Karim,El Hlimi,Karim El Hlimi,Men,CUT,M,1.77,44707,83.9,198,32083,33,110,-35,1,1,-35 pts,17,110,1,-35,CAP+21,CAP+21,110
,Bahamas,BS,ca414-P916290_1-184.jpg,David,Morley,David Morley,Men,CUT,M,1.86,,88.5,219,916290,28,111,-36,1,1,-36 pts,44,111,1,-36,CAP+22,CAP+22,111
RD CrossFit,El Salvador,SV,d8f35-P683301_1-184.jpg,Rodrigo,BeltrÃ¡n,Rodrigo BeltrÃ¡n,Men,CUT,M,1.89,44693,83.9,211,683301,31,112,-37,1,1,-37 pts,11,112,1,-37,CAP+22,CAP+22,112
CrossFit Dignus,Lebanon,LB,8f57c-P523439_1-184.jpg,Moustafa,Awada,Moustafa Awada,Men,CUT,M,1.8,44736,79.8,194,523439,29,113,-38,1,1,-38 pts,19,113,1,-38,CAP+24,CAP+24,113
966 CrossFit Al-Nahda,Saudi Arabia,SA,6e032-P639107_2-184.jpg,Hussain,Saeedi,Hussain Saeedi,Men,CUT,M,1.55,44618,83.9,207,639107,29,114,-39,1,1,-39 pts,39,114,1,-39,CAP+25,CAP+25,114
PUL CrossFit,Peru,PE,489ba-P915210_1-184.jpg,Jovaldo,Miranda,Jovaldo Miranda,Men,CUT,M,1.71,44698,81.2,174,915210,30,115,-40,1,1,-40 pts,48,115,2,-40,CAP+25,CAP+25,115
CrossFit 6221,Indonesia,ID,ce806-P1129621_1-184.jpg,Mahendra,Arditirta,Mahendra Arditirta,Men,CUT,M,1.77,44650,69.9,209,1129621,29,116,-41,1,1,-41 pts,40,116,1,-41,CAP+26,CAP+26,116
CrossFit Leeds,Ghana,GH,b958b-P921544_2-184.jpg,Edem,Ahiaku,Edem Ahiaku,Men,CUT,M,1.8,44726,83.9,230,921544,28,117,-42,1,1,-42 pts,3,117,1,-42,CAP+27,CAP+27,117
CrossFit HelvetiX,Kosovo,XK,c8255-P722854_3-184.jpg,Robert,Berisha,Robert Berisha,Men,CUT,M,1.74,44733,79.8,205,722854,32,118,-43,1,1,-43 pts,38,118,1,-43,CAP+30,CAP+30,118
